date,symbol,close,trading_signal,confidence_level,position_size,sma,rsi,adx,cci,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change
2025-03-03,JNJ,164.65,HOLD,0.5,20,155.38,75.83,42.29,126.57,4.56,3.93,0.63,165.83,155.38,144.93,0,0,0,0,0,0,0
2025-03-04,JNJ,162.82,HOLD,0.6,30,156.11,69.43,43.8,116.07,4.51,4.04,0.47,166.5,156.11,145.71,0,0,0,0,0,0,0
2025-03-05,JNJ,162.52,BUY,0.8,30,156.74,68.53,45.64,81.4,4.42,4.14,0.28,167.08,156.74,146.4,2,1,1,1,1,1,1
2025-03-07,JNJ,164.07,HOLD,0.6,20,158.06,70.99,46.23,86.26,4.29,4.2,0.09,168.22,158.06,147.89,0,0,0,0,0,0,0
2025-03-10,JNJ,165.06,SELL,0.8,30,158.83,73.17,52.03,100.65,4.35,4.32,0.03,168.64,158.83,149.03,1,-1,-1,-1,-1,-1,1
2025-03-11,JNJ,163.25,BUY,0.8,60,159.46,66.17,51.42,65.97,4.15,4.29,-0.14,168.68,159.46,150.25,2,2,1,1,1,2,1
2025-03-12,JNJ,160.29,HOLD,0.5,10,159.86,56.37,48.18,14.91,3.61,4.04,-0.43,168.49,159.86,151.22,0,0,0,0,0,0,0
2025-03-13,JNJ,160.43,BUY,0.7,40,160.3,56.68,46.66,13.82,3.24,3.88,-0.64,168.06,160.3,152.53,1,1,1,1,1,1,0
2025-03-14,JNJ,160.25,HOLD,0.5,10,160.63,56.12,44.6,-16.26,2.9,3.68,-0.79,167.75,160.63,153.51,0,0,0,0,0,0,0
2025-03-17,JNJ,160.28,HOLD,0.5,10,161.02,55.77,39.49,-20.23,2.47,3.31,-0.84,167.09,161.02,154.95,0,0,0,0,0,0,0
2025-03-18,JNJ,161.67,HOLD,0.6,20,161.48,59.57,38.08,4.62,2.35,3.16,-0.81,166.14,161.48,156.82,0,0,0,0,0,0,0
2025-03-19,JNJ,160.43,HOLD,0.6,20,161.73,55.0,36.28,-40.68,2.07,2.89,-0.82,165.51,161.73,157.94,1,1,1,1,1,1,1
2025-03-20,JNJ,160.46,HOLD,0.6,20,161.89,55.09,34.89,-75.09,1.86,2.69,-0.82,165.12,161.89,158.67,1,1,1,1,1,1,0
2025-03-21,JNJ,161.06,BUY,0.7,40,161.96,56.89,33.9,-50.36,1.73,2.49,-0.77,165.06,161.96,158.86,2,2,1,1,1,2,1
2025-03-24,JNJ,160.72,HOLD,0.5,20,161.94,55.84,43.61,-50.67,1.62,2.38,-0.76,165.06,161.94,158.81,1,1,1,1,1,1,0
2025-03-26,JNJ,159.18,HOLD,0.6,20,161.62,49.11,33.86,-111.67,0.86,1.63,-0.77,165.14,161.62,158.1,2,2,1,1,1,2,1
2025-03-27,JNJ,160.56,HOLD,0.6,20,161.59,53.83,32.69,-57.61,0.81,1.46,-0.65,165.14,161.59,158.05,2,2,2,2,1,2,1
2025-03-28,JNJ,161.14,SELL,0.8,40,161.53,55.66,31.77,-18.37,0.81,1.33,-0.52,165.06,161.53,158.0,2,-2,-2,-2,-1,-2,-2
2025-03-31,JNJ,163.23,SELL,0.7,30,161.46,61.77,30.76,66.23,0.95,1.24,-0.29,164.78,161.46,158.13,2,-1,-1,-1,0,-1,-1
2025-04-01,JNJ,150.84,SELL,0.9,40,160.86,33.03,30.57,-313.64,0.1,1.05,-0.94,166.5,160.86,155.22,2,-2,-2,-2,-1,-2,-2
2025-04-02,JNJ,152.92,SELL,0.8,40,160.38,38.25,33.43,-282.91,-0.41,0.77,-1.18,166.93,160.38,153.83,2,-1,-1,-1,0,-1,-1
2025-04-03,JNJ,157.31,HOLD,0.5,20,160.08,47.53,31.16,-111.86,-0.46,0.52,-0.99,166.63,160.08,153.54,1,1,1,1,0,1,1
2025-04-04,JNJ,150.83,HOLD,0.5,20,159.42,38.37,30.1,-190.37,-1.02,0.21,-1.23,166.84,159.42,152.0,1,1,1,1,1,1,1
2025-04-07,JNJ,148.25,HOLD,0.5,20,158.58,35.27,28.37,-240.41,-1.7,-0.25,-1.45,166.99,158.58,150.17,1,1,1,1,1,1,0
2025-04-08,JNJ,147.64,HOLD,0.5,20,157.8,34.62,29.18,-181.19,-2.2,-0.63,-1.58,167.17,157.8,148.42,1,1,1,1,1,1,0
2025-04-09,JNJ,148.6,SELL,0.9,40,157.21,36.56,30.56,-171.75,-2.55,-1.07,-1.49,167.32,157.21,147.1,2,-2,-2,-2,-1,-2,1
2025-04-10,JNJ,146.35,HOLD,0.5,20,156.51,33.87,31.08,-144.58,-2.94,-1.44,-1.5,167.54,156.51,145.48,2,-1,-1,-1,0,-1,1
2025-04-11,JNJ,149.34,SELL,0.8,40,155.96,40.19,31.22,-96.92,-2.97,-1.75,-1.22,167.28,155.96,144.65,1,-1,-1,-1,-1,-1,1
2025-04-14,JNJ,151.93,HOLD,0.5,20,155.55,44.83,27.61,-56.85,-2.86,-2.1,-0.76,166.81,155.55,144.28,1,0,0,0,1,0,0
2025-04-15,JNJ,151.2,HOLD,0.6,20,155.02,43.82,26.42,-43.97,-2.67,-2.17,-0.5,166.07,155.02,143.98,2,2,1,1,2,2,1
2025-04-16,JNJ,151.49,HOLD,0.5,20,154.58,44.38,27.17,-40.3,-2.5,-2.25,-0.26,165.44,154.58,143.72,2,1,1,1,2,1,1
2025-04-17,JNJ,154.99,HOLD,0.5,10,154.3,50.98,25.4,3.91,-2.06,-2.21,0.15,164.83,154.3,143.78,0,0,0,0,0,0,0
2025-04-18,JNJ,154.99,HOLD,0.6,20,154.3,50.98,25.4,3.91,-2.06,-2.21,0.15,164.83,154.3,143.78,1,1,0,0,0,1,1
2025-04-21,JNJ,154.45,BUY,0.7,40,153.97,49.61,21.11,6.97,-1.91,-2.36,0.45,164.03,153.97,143.91,1,1,1,1,1,1,0
2025-04-22,JNJ,155.27,BUY,0.8,60,153.7,50.93,18.2,23.43,-1.66,-2.34,0.68,163.3,153.7,144.1,2,2,2,2,2,2,1
2025-04-23,JNJ,152.94,HOLD,0.5,10,153.42,46.38,16.83,-3.55,-1.6,-2.25,0.65,162.77,153.42,144.08,0,0,0,0,0,0,0
2025-04-24,JNJ,152.49,HOLD,0.5,10,153.09,45.57,16.59,-13.33,-1.52,-2.1,0.58,162.06,153.09,144.12,0,0,0,0,0,0,0
2025-04-25,JNJ,152.15,HOLD,0.5,20,152.67,44.92,16.6,-21.85,-1.47,-1.98,0.51,160.96,152.67,144.38,1,1,1,1,1,1,1
2025-04-28,JNJ,152.91,HOLD,0.5,10,152.26,46.71,16.63,9.87,-1.35,-1.87,0.51,159.59,152.26,144.93,1,0,0,0,0,0,0
2025-04-29,JNJ,153.46,HOLD,0.5,10,151.77,47.92,15.84,47.47,-1.25,-1.81,0.56,157.15,151.77,146.39,0,0,0,0,0,0,0
2025-04-30,JNJ,153.85,BUY,0.8,60,151.92,48.66,15.68,68.44,-1.17,-1.8,0.63,157.36,151.92,146.48,2,2,1,1,1,2,1
