date,symbol,close,trading_signal,confidence_level,position_size,sma,rsi,adx,cci,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change
2025-03-03,WMT,96.86,HOLD,0.5,10,99.51,48.8,34.2,-49.38,0.21,1.0,-0.79,106.21,99.51,92.81,0,0,0,0,0,0,0
2025-03-04,WMT,94.26,HOLD,0.5,10,99.28,42.68,32.0,-96.77,-0.11,0.74,-0.85,106.36,99.28,92.21,0,0,0,0,0,0,0
2025-03-05,WMT,95.26,HOLD,0.5,10,99.05,45.38,29.55,-82.01,-0.27,0.5,-0.78,106.32,99.05,91.77,0,0,0,0,0,0,0
2025-03-06,WMT,93.93,HOLD,0.5,10,98.66,42.42,28.64,-86.8,-0.48,0.31,-0.79,106.15,98.66,91.16,0,0,0,0,0,0,0
2025-03-07,WMT,91.04,HOLD,0.5,10,98.11,36.8,28.9,-129.27,-0.87,0.07,-0.94,106.12,98.11,90.09,0,0,0,0,0,0,0
2025-03-10,WMT,87.16,HOLD,0.5,20,97.44,30.61,28.83,-181.91,-1.54,-0.33,-1.21,106.68,97.44,88.2,0,0,0,0,0,0,0
2025-03-11,WMT,86.79,HOLD,0.5,20,96.68,30.1,30.04,-164.71,-2.02,-0.67,-1.35,106.74,96.68,86.61,0,0,0,0,0,0,0
2025-03-12,WMT,84.56,HOLD,0.6,30,95.82,27.31,33.68,-169.41,-2.49,-0.96,-1.53,106.89,95.82,84.74,0,0,0,0,0,0,0
2025-03-13,WMT,83.87,HOLD,0.4,20,94.87,26.46,35.09,-171.99,-2.94,-1.36,-1.58,106.61,94.87,83.13,1,-1,-1,-1,0,-1,1
2025-03-14,WMT,84.71,HOLD,0.5,30,93.89,29.34,36.39,-143.84,-3.19,-1.73,-1.46,105.59,93.89,82.19,1,0,0,0,0,0,0
2025-03-17,WMT,86.81,HOLD,0.5,20,93.07,36.03,36.13,-101.38,-3.18,-2.05,-1.12,104.33,93.07,81.81,2,1,1,1,1,1,0
2025-03-18,WMT,84.95,HOLD,0.5,20,92.17,32.93,34.6,-96.27,-3.31,-2.34,-0.97,102.98,92.17,81.36,0,0,0,0,0,0,0
2025-03-19,WMT,85.69,HOLD,0.5,20,91.29,35.06,34.37,-85.96,-3.34,-2.6,-0.73,101.18,91.29,81.4,1,1,0,0,0,1,0
2025-03-20,WMT,85.17,HOLD,0.5,10,90.72,34.17,34.05,-77.81,-3.33,-2.75,-0.58,100.65,90.72,80.8,0,0,0,0,0,0,0
2025-03-21,WMT,85.57,SELL,0.7,30,90.3,35.54,33.92,-72.96,-3.25,-2.85,-0.4,100.34,90.3,80.25,2,-1,-1,-1,-1,-1,1
2025-03-24,WMT,87.08,SELL,0.8,40,90.01,40.43,30.37,-47.24,-3.06,-2.93,-0.13,100.07,90.01,79.94,1,-1,-1,-1,-1,-1,1
2025-03-25,WMT,84.36,SELL,0.8,40,89.38,34.98,29.84,-64.05,-3.1,-3.01,-0.1,99.19,89.38,79.56,2,-2,-1,-1,-1,-1,1
2025-03-26,WMT,84.81,SELL,0.9,40,88.84,36.06,31.57,-65.96,-3.14,-3.16,0.02,98.43,88.84,79.25,2,-2,-2,-2,-1,-2,-1
2025-03-27,WMT,85.22,HOLD,0.5,20,88.3,37.5,31.16,-56.44,-3.01,-3.13,0.12,97.4,88.3,79.19,1,1,1,1,1,1,0
2025-03-28,WMT,84.75,SELL,0.7,30,87.64,36.49,30.8,-59.26,-2.91,-3.09,0.17,95.73,87.64,79.56,1,-1,-1,-1,-1,-1,1
2025-03-31,WMT,87.37,HOLD,0.5,10,87.17,45.07,28.38,-22.37,-2.64,-3.07,0.42,94.06,87.17,80.28,0,0,0,0,0,0,0
2025-04-01,WMT,88.41,HOLD,0.5,10,86.88,48.18,26.51,32.76,-2.26,-2.9,0.64,92.99,86.88,80.76,0,0,0,0,0,0,0
2025-04-02,WMT,89.33,SELL,0.8,40,86.58,50.63,23.33,85.24,-1.93,-2.78,0.85,91.49,86.58,81.66,2,-2,-2,-2,-1,-1,-1
2025-04-03,WMT,86.85,SELL,0.7,30,86.22,44.12,22.05,54.53,-1.8,-2.58,0.78,89.81,86.22,82.64,2,-1,-1,-1,-1,-1,1
2025-04-04,WMT,82.8,SELL,0.8,40,85.81,36.01,22.19,-113.5,-2.0,-2.47,0.46,88.96,85.81,82.67,2,-1,-1,-1,-1,-1,1
2025-04-07,WMT,83.43,SELL,0.8,40,85.63,37.52,30.78,-164.75,-2.2,-2.57,0.37,88.87,85.63,82.38,2,-1,-1,-1,-1,-1,1
2025-04-08,WMT,81.4,SELL,0.8,40,85.36,34.1,30.05,-150.33,-2.34,-2.44,0.11,89.04,85.36,81.68,2,-1,-1,-1,-2,-1,1
2025-04-09,WMT,89.18,SELL,0.7,30,85.59,52.48,28.69,99.81,-1.91,-2.42,0.51,89.6,85.59,81.57,2,-1,-1,-1,-1,-1,1
2025-04-10,WMT,90.18,BUY,0.8,60,85.9,54.28,26.89,186.43,-1.43,-2.22,0.8,90.3,85.9,81.5,2,1,1,1,1,1,0
2025-04-11,WMT,92.36,BUY,0.8,60,86.29,57.99,25.23,216.78,-0.85,-1.95,1.1,91.46,86.29,81.11,1,1,1,1,1,1,0
2025-04-14,WMT,94.28,BUY,0.8,80,86.66,60.86,29.86,231.41,-0.32,-1.71,1.39,92.9,86.66,80.42,0,0,0,0,0,0,0
2025-04-15,WMT,93.52,BUY,0.8,60,87.09,59.17,28.93,190.21,0.15,-1.29,1.44,93.95,87.09,80.23,0,0,0,0,0,0,0
2025-04-16,WMT,90.76,BUY,0.7,40,87.34,53.01,26.37,105.83,0.27,-0.97,1.23,94.35,87.34,80.33,0,0,0,0,0,0,0
2025-04-17,WMT,92.78,BUY,0.8,60,87.72,56.58,24.71,109.65,0.51,-0.67,1.18,95.04,87.72,80.41,1,1,1,1,1,1,0
2025-04-18,WMT,92.78,HOLD,0.5,20,87.72,56.58,24.71,109.65,0.51,-0.67,1.18,95.04,87.72,80.41,1,-1,-1,-1,0,-1,1
2025-04-21,WMT,91.97,BUY,0.8,60,88.04,55.48,18.79,90.74,0.88,-0.05,0.94,95.51,88.04,80.57,1,1,1,1,1,1,0
2025-04-22,WMT,94.4,BUY,0.8,60,88.41,59.94,15.45,110.84,1.24,0.32,0.92,96.36,88.41,80.46,1,1,1,1,1,1,0
